phones,gmm,supervectors
b,0.131914893617,0.133
m,0.164794007489,0.186
B,0.188006482982,0.179
s,0.256749872645,0.252
D,0.178532311062,0.185
G,0.16393442623,0.152
w,0.173184357542,0.141
i,0.248514851485,0.252
y,0.35067114094,0.371
p,0.342403628117,0.315
r,0.333941605839,0.331
z,0.210526315789,0.242
t,0.319236016371,0.323
k,0.313364055299,0.304
rr,0.327868852458,0.341
a,0.381386861314,0.371
o,0.372262773723,0.387
l,0.305522914218,0.289
e,0.386380737396,0.392
n,0.392,0.382
u,0.301069791136,0.355
c,0.298076923077,0.308
x,0.135135135135,0.135
d,0.348963029757,0.304
g,0.210970464136,0.236
N,0.256756756757,0.203
